title,classification_id_1,phone,city,city_id_partner,county,county_id_partner,email,website_url,foursquare_url,twitter_url,facebook_url,facebook_url,googleplus_url,company_type,registration_no,location_type,street_type_id,street_number,street,neighbourhood,postcode,latitude,longitude
Prima car,2,067 888 444,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Bajova,,,42.485992,18.743727
Rokšped,2,069 077 952,Kolašin,457,Kolašin,9,,,,,,,,,,,, b.b.,Bakovići,,,42.848275,19.5196188
Tomičić,2,032 363 361,Kotor,522,Kotor,10,,,,,,,,,,,, b.b.,Radanovići,,,42.3565592,18.7630664
Tangeta,2,040 235 510,Nikšić,645,Nikšić,12,office@tangeta.co.me,,,,,,,,,,, T32,VI Crnogorske,,,42.7753707,18.9582186
Auto kuća Tile,2,040 212 072,Nikšić,645,Nikšić,12,tile@t-com.me,,,,,,,,,,, b.b.,Vuka Karadžića,,,42.7730921,18.9569272
Z&M Automobile ,2,040 218 025,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Podgorički put,,,42.7641984,18.9467597
Holand Auto,2,040 253 347,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Straševina,,,42.752375,18.941309
Monte Lada,2,040 214 028,Nikšić,645,Nikšić,12,,,,,,,,,,,, 32,Vuka Mićunovića,,,42.7751449,18.9444852
Verano Motors,2,020 633 427,Podgorica,1032,Podgorica,16,tanja.velimirovic@verano.co.rs,www.peugeot.co.me,,,,,,,,,, 43,Bratstva i jedinstva,,,42.4347085,19.2635294
Renault alliance,2,020 892 050,Podgorica,1032,Podgorica,16,alliance@t-com.me,,,,,,,,,,, b.b.,Cetinjski put,,,42.4385301,19.2366931
Efel motors,2,020 610 220,Podgorica,1032,Podgorica,16,prodaja@efelmotors.com,www.efelmotors.com,,,,,,,,,, b.b.,Josipa Broza Tita,,,42.429794,19.271822
Efel motors,2,020 210 912,Podgorica,1032,Podgorica,16,yamaha@efelmotors.com,www.efelmotors.com,,,,,,,,,, 40,Novaka Miloševa,,,42.4398413,19.2663796
Mp Auto,2,020 642 330,Podgorica,1032,Podgorica,16,mpauto@t-com.me,www.mpgrupa.com,,,,,,,,,, 70,Vojislavljevića,,,42.421716,19.2432323
Autoberza,2,020 662 134,Podgorica,1032,Podgorica,16,,www.autoberza.t-com.me,,,,,,,,,, b.b.,27. marta,,,42.4255917,19.2489526
Mobile Namos,2,020 633 873,Podgorica,1032,Podgorica,16,mobilenamos@t-com.me,,,,,,,,,,, 18,4. jula,,,42.4489988,19.2470652
Sawal M,2,020 634 893,Podgorica,1032,Podgorica,16,sawalm@t-com.me,,,,,,,,,,, 62,4. jula,,,42.4256769,19.2581331
Montebir,2,020 625 583,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 62,4. jula,,,42.4256769,19.2581331
Prokom,2,020 663 133,Podgorica,1032,Podgorica,16,prokom@t-com.me,,,,,,,,,,, 74,8. marta,,,42.4334978,19.2412832
Vitro group,2,080 872 100,Podgorica,1032,Podgorica,16,nenad.lekic@vitrogroup.me,www.vitrogroup.me,,,,,,,,,, 55,8.marta,,,42.4334978,19.2412832
Autounia,2,20651219,Podgorica,1032,Podgorica,16,auto@unia.me,,,,,,,,,,, 81,Admirala Zmajevica,,,42.4289452,19.2744255
Spona M,2,020 656 006,Podgorica,1032,Podgorica,16,spona.m@t-com.me,,,,,,,,,,, 12,Avda Medjedović,,,42.442575,19.268646
Radoš R,2,020 280 050,Podgorica,1032,Podgorica,16,radosr@t-com.me,,,,,,,,,,, b.b.,Boška Buhe,,,42.4530402,19.2289808
Auto Trend Toscana,2,020 651 199,Podgorica,1032,Podgorica,16,autotrendmne@t-com.me,www.autotrendmne.com,,,,,,,,,, Tita,Josipa Broza,,,42.429794,19.271822
Virage plus,2,020 610 055,Podgorica,1032,Podgorica,16,virage@t-com.me,www.virageplus.com,,,,,,,,,, 17,Josipa Broza Tita,,,42.429794,19.271822
Virage plus,2,020 610 066,Podgorica,1032,Podgorica,16,,www.virageplus.com,,,,,,,,,, 28,Josipa Broza Tita,,,42.429794,19.271822
Krisma Motors,2,020 658 544,Podgorica,1032,Podgorica,16,krismamotors@t-com.me,,,,,,,,,,, 53,Josipa Broza Tita,,,42.429794,19.271822
Aćimić Moto,2,069 887 733,Podgorica,1032,Podgorica,16,acimicmoto@gmail.com,,,,,,,,,,, 50,Marka Miljanova,,,42.4401343,19.266472
Robur,2,067 668 348,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 6,Njegošev Park S,,,42.442575,19.268646
Robur,2,020 244 832,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Serdara Jola Piletića,,,42.4479537,19.2585084
Mobil market,2,020 622 340,Podgorica,1032,Podgorica,16,berilazickoka@yahoo.com,,,,,,,,,,, 48,V. Martinovića,,,42.4352488,19.2692841
Volmont,2,020 273 186,Podgorica,1032,Podgorica,16,jelena.radovic@volmont.co.me,,,,,,,,,,, 2e,Veliše Mugoše,,,42.4530905,19.2637645
Robur,2,067 668 348,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 6,Njegošev Park S,,,42.442575,19.268646
Robur,2,020 244 832,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Serdara Jola Piletića,,,42.4479537,19.2585084
Efel travel,2,020 662 381,Podgorica,1032,Podgorica,16,mobil1@t-com.me,,,,,,,,,,, b.b.,8. marta,,,42.4334978,19.2412832
MBS auto market,2,020 660 382,Podgorica,1032,Podgorica,16,automarket.mbs@t-com.me,www.mbs.t-com.me,,,,,,,,,, 1,Branka Ćopića,,,42.4625342,19.2893687
Monte Lada S & B,2,020 623 477,Podgorica,1032,Podgorica,16,ladamontenegro@t-com.me,,,,,,,,,,, b.b.,Bratstva i Jedinstva,,,42.4347085,19.2635294
DMD Delta,2,020 883 170,Podgorica,1032,Podgorica,16,deltaauto@delta.t-com.me,,,,,,,,,,, 62,Bul. Revolucije,,,42.4403492,19.2492123
Automania,2,020 652 497 ,Podgorica,1032,Podgorica,16,,,,,,,,,,,,62 ,Lamela,,,42.442575,19.268646
G.A.B. Hyundai,2,020 872 820,Podgorica,1032,Podgorica,16,gabhyundai@t-com.me,,,,,,,,,,, b.b.,Mahala,,,42.3504297,19.2147632
Kia Montenegro,2,020 234 463,Podgorica,1032,Podgorica,16,kiamontenegro@t-com.me,,,,,,,,,,, 12,Rimski trg,,,42.4429204,19.2471027
Rokšped,2,020 875 001,Podgorica,1032,Podgorica,16,jelena.damjanovic@roksped.com,www.roksped.com,,,,,,,,,, b.b.,Tuzi,,,42.3789469,19.324704
Mp Auto,2,020 642 330,Podgorica,1032,Podgorica,16,mpauto@t-com.me,www.mpgrupa.com,,,,,,,,,, 70,Vojislavljevića,,,42.421716,19.2432323
Montomatic,2,069 071 685,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Zlatica,,,42.463543,19.2935611
Autotamaris,2,032 671 123,Tivat,1086,Tivat,18,rdragutin@t-com.me,,,,,,,,,,, b.b.,Kukoljina,,,42.431877,18.711267
Autotamaris,2,032 671 124,Tivat,1086,Tivat,18,,,,,,,,,,,, b.b.,Servisna zona,,,42.431877,18.711267
Milenium auto,2,030 412 835,Ulcinj,1122,Ulcinj,19,sabri.zelenaga@ardi.me,,,,,,,,,,, b.b.,Skenderbega ,,,41.929722,19.224291
Jugopetrol,4,051 230 760,Andrijevica,1,Andrijevica,1,,,,,,,,,,,, b.b.,Branka Deletića,,,0,0
Jugopetrol,4,051 230 760,Andrijevica,1,Andrijevica,1,,,,,,,,,,,, b.b.,Branka Deletića,,,0,0
Jugopetrol,4,030 302 260,Bar,26,Bar,2,,,,,,,,,,,, b.b.,Ilino,,,42.1060434,19.0910545
Jugopetrol,4,030 302 260,Bar,26,Bar,2,,,,,,,,,,,, b.b.,Ilino,,,42.1060434,19.0910545
Jugopetrol,4,051 230 040,Berane,191,Berane,5,,,,,,,,,,,, 20,Miljana Tomičića,,,42.851336,19.8681428
Jugopetrol,4,051 230 040,Berane,191,Berane,5,,,,,,,,,,,, 20,Miljana Tomičića,,,42.851336,19.8681428
PitStop,4,050 480 672,Bijelo Polje,916,Podgorica,16,pitstopbp@t-com.me,,,,,,,,,,, b.b.,Industrijska,,,43.037708,19.747931
Jugopetrol,4,050 430 268,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, b.b.,Slobodana Penezića,,,43.037708,19.747931
Tehnogas Kraljevo,4,050 477 538,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, b.b.,Bijelo Polje,,,43.037708,19.747931
Euro petrol,4,050 477 441,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, b.b.,Konatari,,,43.037708,19.747931
Jugopetrol,4,050 430 268,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, b.b.,Slobodana Penezića,,,43.037708,19.747931
Jugopetrol,4,033 401 960,Budva,1271,Budva,21,,,,,,,,,,,, b.b.,Buljarica,,,42.196571,18.9743668
Jugopetrol,4,033 401 950,Budva,1271,Budva,21,,,,,,,,,,,, b.b.,Jadranski put,,,42.2880556,18.8425
Jugopetrol,4,033 401 960,Budva,1271,Budva,21,,,,,,,,,,,, b.b.,Buljarica,,,42.196571,18.9743668
Jugopetrol,4,033 401 950,Budva,1271,Budva,21,,,,,,,,,,,, b.b.,Jadranski put,,,42.2880556,18.8425
Jugopetrol,4,041 230 060,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Ivan Begova,,,42.3908879,18.91398
Montenegrobonus,4,041 230 260,Cetinje,318,Cetinje,6,montenegrobonus@t-com.me,www.montenegrobonus.me,,,,,,,,,, b.b.,Balšića Pazar,,,42.3895615,18.9250499
Jugopetrol,4,041 230 060,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Ivan Begova,,,42.3908879,18.91398
Euro Pact,4,020 813 131,Danilovgrad,346,Danilovgrad,7,,,,,,,,,,,, b.b.,Filendar,,,0,0
Jugopetrol,4,020 810 005,Danilovgrad,346,Danilovgrad,7,,,,,,,,,,,, b.b.,Voštar,,,0,0
Euro Pact,4,020 813 131,Danilovgrad,346,Danilovgrad,7,,,,,,,,,,,, b.b.,Filendar,,,0,0
Eko petrol,4,020 882 120,Danilovgrad,346,Danilovgrad,7,,,,,,,,,,,, b.b.,Spuž,,,42.5118719,19.199635
Jugopetrol,4,020 810 005,Danilovgrad,346,Danilovgrad,7,,,,,,,,,,,, b.b.,Voštar,,,0,0
Ranch petrol,4,031 348 369,Herceg Novi,429,Herceg Novi,8,ranc@t-com.me,,,,,,,,,,, b.b.,Meljine,,,42.4560981,18.5596741
Rokšped,4,069 077 952,Kolašin,457,Kolašin,9,,,,,,,,,,,, b.b.,Bakovići,,,42.848275,19.5196188
Jugopetrol,4,020 860 020,Kolašin,457,Kolašin,9,,,,,,,,,,,, b.b.,Lugovi,,,42.8236111,19.5225
Jugopetrol,4,020 860 020,Kolašin,457,Kolašin,9,,,,,,,,,,,, b.b.,Lugovi,,,42.8236111,19.5225
Jugopetrol,4,032 301 136,Kotor,522,Kotor,10,,,,,,,,,,,, 92,Buljevina,,,0,0
Vuk Petrol,4,032 331 600,Kotor,522,Kotor,10,,,,,,,,,,,, b.b.,Sutvara ,,,42.3781661,18.7652939
Jugopetrol,4,032 301 800,Kotor,522,Kotor,10,,,,,,,,,,,, 2,Trg Mata Petrovića,,,0,0
Jugopetrol,4,032 301 136,Kotor,522,Kotor,10,,,,,,,,,,,, 92,Buljevina,,,0,0
Vuk   Petrol,4,032 331 600,Kotor,522,Kotor,10,,,,,,,,,,,, b.b.,Radanovići,,,42.3565592,18.7630664
Jugopetrol,4,032 301 800,Kotor,522,Kotor,10,,,,,,,,,,,, 2,Trg Mata Petrovića,,,0,0
Jugopetrol,4,050 470 020,Mojkovac,561,Mojkovac,11,,,,,,,,,,,, b.b.,Mojkovac,,,42.958611,19.581667
M Petrol,4,050 470 140 ,Mojkovac,561,Mojkovac,11,,,,,,,,,,,, b.b.,Mojkovačkih junaka,,,42.958611,19.581667
Jugopetrol,4,050 470 020,Mojkovac,561,Mojkovac,11,,,,,,,,,,,, b.b.,Mojkovac,,,42.958611,19.581667
Jugopetrol,4,040 200 360,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Bul. 13. jula,,,42.7733215,18.9458432
Jugopetrol,4,040 270 008,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Plužine,,,42.773281,18.94416
Gitanes export,4,040 253 585,Nikšić,645,Nikšić,12,gitanes@t-com.me,,,,,,,,,,, b.b.,Podgorički put,,,42.7641984,18.9467597
Jugopetrol,4,040 253 329,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Straševina,,,42.752375,18.941309
Neksan,4,040 247 067,Nikšić,645,Nikšić,12,neksan@t-com.me,www.neksan.t-com.me,,,,,,,,,, b.b.,Vuka Karadžića,,,42.7730921,18.9569272
Jugopetrol,4,040 200 360,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Bul. 13. jula,,,42.7733215,18.9458432
Jugopetrol,4,040 270 008,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Plužine,,,42.773281,18.94416
Jugopetrol,4,040 253 329,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Straševina,,,42.752375,18.941309
Jugopetrol,4,051 255 015,Plav,700,Plav,13,,,,,,,,,,,, b.b.,Plav,,,42.595556,19.945
Jugopetrol,4,051 255 015,Plav,700,Plav,13,,,,,,,,,,,, b.b.,Plav,,,42.595556,19.945
Jugopetrol,4,052 300 020,Pljevlja,814,Pljevlja,14,,,,,,,,,,,, b.b.,Narodne Revolucije,,,43.3534054,19.3526423
Mat petrol,4,052 322 590,Pljevlja,814,Pljevlja,14,,,,,,,,,,,, b.b.,Miloša Tošića,,,43.36,19.36
Jugopetrol,4,052 300 020,Pljevlja,814,Pljevlja,14,,,,,,,,,,,, b.b.,Narodne Revolucije,,,43.3534054,19.3526423
Dak Petrol,4,020 640 175,Podgorica,1032,Podgorica,16,dpp@t-com.me,,,,,,,,,,, b.b.,27. marta,,,42.4255917,19.2489526
Dekar,4,020 624 620,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 17,4. jula,,,42.4256769,19.2581331
Sanus,4,020 625 706,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 13,4. jula,,,42.4463286,19.2542818
Senca,4,020 624 620,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,4. jula,,,42.4463286,19.2542818
Jugopetrol,4,020 206 040,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Cetinjski put,,,42.4385301,19.2366931
Mapetrol,4,020 870 134,Podgorica,1032,Podgorica,16,mccomp@t-com.me,,,,,,,,,,, b.b.,Kuće Rakića,,,42.3897994,19.2816662
Sanus,4,020 872 822,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Mahala,,,42.3504297,19.2147632
Senić Petrol,4,020 872 845,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Mahala,,,42.3504297,19.2147632
Rokšped,4,020 875 001,Podgorica,1032,Podgorica,16,jelena.damjanovic@roksped.com,www.roksped.com,,,,,,,,,, b.b.,Tuzi,,,42.3789469,19.324704
Euro Pact,4,020 875 972,Podgorica,1032,Podgorica,16,europact@t-com.me,,,,,,,,,,, b.b.,Tuzi,,,42.3789469,19.324704
Trans Petrol,4,020 623 900,Podgorica,1032,Podgorica,16,transpet@t-com.me,,,,,,,,,,, 103,4. jula,,,42.4256769,19.2581331
Montenegro Petrol,4,020 623 900,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 103,4. jula,,,42.4256769,19.2581331
Albino,4,020 602 405,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 86 4,Bracana Bracanovića,,,42.4270885,19.2644493
Jugopetrol,4,020 206 040,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Cetinjski put,,,42.4385301,19.2366931
Senić petrol,4,069 302 250,Podgorica,1032,Podgorica,16,senicpetrol@t-com.me,www.senicpetrol.me,,,,,,,,,, b.b.,Mahala,,,42.3504297,19.2147632
Montenegro Petrol,4,020 714 150,Podgorica,1032,Podgorica,16,inexpet@t-com.me,,,,,,,,,,, b.b.,Nikšićki put,,,42.442575,19.268646
Eko D. Montenegro,4,020 234 102,Podgorica,1032,Podgorica,16,,www.eko.t-com.me,,,,,,,,,, b.b.,P.C. Kruševac,,,42.441556,19.24301
Simfaktor,4,020 234 358,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,P.C. Kruševac,,,42.441556,19.24301
Euro Pact,4,020 875 972,Podgorica,1032,Podgorica,16,europact@t-com.me,,,,,,,,,,, b.b.,Tuzi,,,42.3789469,19.324704
Jugopetrol,4,051 270 014,Rožaje,1071,Rožaje,17,,,,,,,,,,,, b.b.,Rožaje,,,42.84,20.16
Jugopetrol,4,051 270 014,Rožaje,1071,Rožaje,17,,,,,,,,,,,, b.b.,Rožaje,,,42.84,20.16
Jugopetrol,4,040 266 388,Šavnik,162,Šavnik,4,,,,,,,,,,,, b.b.,Šavnik,,,42.9577803,19.0943627
Jugopetrol,4,040 266 388,Šavnik,162,Šavnik,4,,,,,,,,,,,, b.b.,Šavnik,,,42.9577803,19.0943627
Jugopetrol,4,032 302 264,Tivat,1086,Tivat,18,,,,,,,,,,,, b.b.,Donja Sutvara,,,42.431877,18.711267
Jugopetrol,4,032 670 040,Tivat,1086,Tivat,18,,,,,,,,,,,, b.b.,Mažina,,,42.4352381,18.702094
Jugopetrol,4,032 302 264,Tivat,1086,Tivat,18,,,,,,,,,,,, b.b.,Donja Sutvara,,,42.431877,18.711267
Jugopetrol,4,032 670 040,Tivat,1086,Tivat,18,,,,,,,,,,,, b.b.,Mažina,,,42.4352381,18.702094
Dely petrol,4,030 425 017,Ulcinj,1122,Ulcinj,19,delypetrol@t-com.me,,,,,,,,,,, b.b.,Majke Tereze,,,41.9292018,19.2187679
Jugopetrol,4,030 401 152,Ulcinj,1122,Ulcinj,19,,,,,,,,,,,, b.b.,Put Braice,,,41.929722,19.224291
Jugopetrol,4,030 401 152,Ulcinj,1122,Ulcinj,19,,,,,,,,,,,, b.b.,Put Braice,,,41.929722,19.224291
Jugopetrol,4,052 360 050,Žabljak,114,Žabljak,3,,,,,,,,,,,, b.b.,Žabljak,,,43.154541,19.12315
Jugopetrol,4,052 360 050,Žabljak,114,Žabljak,3,,,,,,,,,,,, b.b.,Žabljak,,,43.154541,19.12315
Ronilački klub Hobotnica,6,069 020 660,Bar,26,Bar,2,dano@t-com.me,,,,,,,,,,, b.b.,Marina,,,0,0
Sjeverna fudbalska regija,6,069 085 197,Berane,191,Berane,5,,,,,,,,,,,, b.b.,Berane,,,42.845,19.8744444
FK Bijelo Polje,6,067 534 779,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, b.b.,Bijelo Polje,,,43.037708,19.747931
FK Omladinac,6,069 678 679,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, b.b.,Bijelo Polje,,,43.037708,19.747931
Champion,6,069 570 942,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, 43 4,Neđeljka Merdovića,,,43.037708,19.747931
Crnogorski bokserski klub,6,069 057 054,Cetinje,318,Cetinje,6,,,,,,,,,,,, b.b.,Balšića pazar,,,42.3895615,18.9250499
Omladinska škola FK Brskovo,6,069 518 544,Mojkovac,561,Mojkovac,11,,,,,,,,,,,, b.b.,Mojkovac,,,42.958611,19.581667
Nikšić Strars,6,069 446 881,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Njegoševa,,,42.7787122,18.950623
Karate centar,6,040 230 340,Nikšić,645,Nikšić,12,kk.onogost@t-com.me,,,,,,,,,,, b.b.,S.C.Nikšić,,,42.773281,18.94416
Atletski savez Crne Gore,6,020 206 690,Podgorica,1032,Podgorica,16,maraton@t-com.me,,,,,,,,,,, 21,19. decembra,,,42.4459682,19.2662637
Tenis klub AS,6,069 570 547,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Donja Gorica,,,42.4226138,19.2088168
Karate savez Crne Gore,6,020 648 411,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Radosava Burića,,,42.4268955,19.2535117
Ful kontakt,6,020 234 334,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Rimski trg,,,42.4429204,19.2471027
Košarkaški klub Budućnost,6,020 664 225,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Stanka Dragojevića,,,42.4414243,19.260154
Jet Set,6,069 689 190,Podgorica,1032,Podgorica,16,,,,,,,,,,,, Ljubovic,Streljacki centar Ljubovic,,,42.442575,19.268646
FK Budućnost,6,020 664 304,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Vaka Đurovića,,,42.4455845,19.2617959
Sportski konjički klub Montenegro,6,067 505 198,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Vranići,,,42.4620551,19.2340898
Judo klub Jedinstvo,6,069 526 286,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 36,Zetskog odreda,,,42.4514841,19.285954
Sportski club Summit,6,067 212 329,Žabljak,114,Žabljak,3,danilog@t-com.me,,,,,,,,,,, b.b.,Njegoševa,,,43.1549888,19.1185699
Karate škola Durmitor,6,052 361 419,Žabljak,114,Žabljak,3,,,,,,,,,,,, b.b.,Trg Durmitorskih ratnika,,,43.1548102,19.1209762
Planinarsko smučarsko društvo Durmitor,6,069 571 681,Žabljak,114,Žabljak,3,,,,,,,,,,,, b.b.,Trg Durmitorskih ratnika,,,43.1548102,19.1209762
Planet sport ,10,067 529 047,Bijelo Polje,916,Podgorica,16,,,,,,,,,,,, b.b.,Slobode,,,43.0344793,19.747323
Bravera,10,050 432 722,Bijelo Polje,916,Podgorica,16,bravera@t-com.me,,,,,,,,,,, 9,Živka Žižića,,,43.0353427,19.7487871
Trend,10,069 491 075,Budva,1271,Budva,21,,,,,,,,,,,, 2,Trg Sunca,,,42.2872685,18.8421361
Stemi Sport,10,067 860 791,Budva,1271,Budva,21,,,,,,,,,,,, b.b.,Zanatski centartopoški put,,,42.2880556,18.8425
Sport As,10,031 321 951,Herceg Novi,429,Herceg Novi,8,,,,,,,,,,,, 2,Mića Vavića,,,42.457855,18.5254489
BVS commerce Stem,10,031 323 255,Herceg Novi,429,Herceg Novi,8,,,,,,,,,,,, b.b.,Njegoševa,,,42.4524502,18.5332221
Monte Sport,10,068 317 401,Herceg Novi,429,Herceg Novi,8,jecka.monte@gmail.com,,,,,,,,,,,4,Save Ilića,,,0,0
Trend,10,031 331 649,Herceg Novi,429,Herceg Novi,8,,,,,,,,,,,, b.b.,Save Ilića,,,0,0
Casa Puma 2,10,031 331 448,Herceg Novi,429,Herceg Novi,8,,,,,,,,,,,, 2,Savelića,,,0,0
Kakadu,10,069 047 478,Kotor,522,Kotor,10,,,,,,,,,,,, 493,Stari grad,,,42.4247867,18.7720079
Royal sport,10,032 304 444,Kotor,522,Kotor,10,,,,,,,,,,,, b.b.,Stari Grad ,,,42.4250216,18.7708628
Baron sport,10,069 023 001,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Njegoševa,,,42.7787122,18.950623
Olimpic,10,040 200 608,Nikšić,645,Nikšić,12,,,,,,,,,,,, 17,Njegoševa,,,42.7787122,18.950623
Trend,10,067 514 409,Nikšić,645,Nikšić,12,,,,,,,,,,,, b.b.,Radoja Dakića,,,42.7765546,18.9470923
11. Oktobar,10,069 067 617,Pljevlja,814,Pljevlja,14,,,,,,,,,,,, 17,Kralja Petra I,,,43.3563236,19.3578467
Jako Montenegro Sport,10,067 472 886,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 31,Balšića,,,42.4411325,19.2651794
Stemi Sport,10,067 860 791,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 31,Balšića,,,42.4411325,19.2651794
Lacky sport,10,020 665 772,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 55,Bratstva i jedinstva,,,42.4347085,19.2635294
Intersport,10,020 205 040,Podgorica,1032,Podgorica,16,vzsport@t-com.me,,,,,,,,,,, b.b.,Bul. Džordža Vašingtona,,,42.443818,19.2459051
Inter sport,10,069 029 616,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Bul. Džordža Vašingtona,,,42.443818,19.2459051
Enigma sport,10,069 388 200,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 5,Hercegovačka,,,42.4432318,19.2612255
Mondiado,10,020 210 496,Podgorica,1032,Podgorica,16,,,,,,,,,,,, 55,Hercegovačka,,,42.442389,19.2640303
Reflex,10,020 664 370,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,Jola Piletića,,,42.4479537,19.2585084
Sport,10,020 634 124,Podgorica,1032,Podgorica,16,sport_s_plus_pg@yahoo.com,,,,,,,,,,, 43,KraljaNikole,,,42.4353767,19.2603166
Haliotis,10,020 625 655,Podgorica,1032,Podgorica,16,info@haliotissport.com,www.haliotissport.com,,,,,,,,,, 50,Marka Miljanova,,,42.4401343,19.266472
Monterc,10,020 234 780,Podgorica,1032,Podgorica,16,,,,,,,,,,,, b.b.,P.C. Kruševac,,,42.441556,19.24301
