"Papillon Cafe","Str. Regiment 5 Vanatori nr. ","Unirii","0732 970 183 ",,160,7
"Roses of Komodo","Str. Gheorghe Lazar nr. 5","Unirii","0722 550 297",,156,7
"Scart Loc Lejer","Str. Arh. Laszlo Szekely nr. 1 ","Balcescu","0751 892 340","teatru@aualeu.ro",156,7
"Segafredo Zanetti","Piata Victoriei 4","Centru",,,156,7
"Snake Coffee & Lounge","Bd. Iuliu Maniu nr. 34",,"0744 576 707",,156,7
"Spirit Caffe","Strada Mercy","Unirii","0744 641 377 ","spiritcafe2003@yahoo.com",160,6
"Square Cafe","Piata Unirii nr. 8","Unirii",,,160,6
"Starbucks","Strada Demetriade, 1","Iulius Mall",,,156,7
"Stradivarius","Piata Unirii nr. 5","Unirii","0356 452 158",,156,7
"Terasa D'arc","Piata Unirii","Unirii","0722 891 085",,156,7
"The Factory Pub","Str. Stefan cel Mare nr. 5",,"0256 225 031",,156,7
"The Irish Public House","Str. Tarcului nr. 1","Unirii","0721 106 62","office@irish-pub.ro",156,7
"Time Cafe","Florimund Mercy, 7","Unirii","0256 173 428",,160,6
"Van Graph K Fe","Strada Matei corvin, 4","Unirii","0724 091 105 ",,156,7
"Zai Apres Cafe","Florimund Mercy, 5","Unirii","0741 771 446",,160,6
"ApartHotel Iosefin Residence ","Piaţa Mocioni, nr 8","Sinaia","0256 113 224","rezervari@iosefinresidence.ro",185,27
"Best Western Ambassador Luxury Hotel","Strada Mangalia, 3","Sagului","0256 306 880","contact@ambassador.ro",185,27
"Bianco Nero","Strada Carei, 1A","Aradului","0722 258 159","contact@pensiuneabianconero.ro",185,27
"Boavista","Aleea F.C. Ripensia, 7A","Complex studentesc","0256 309 409","office@hotelboavista.ro",185,27
"Boca Junior","Strada Simion Barnutiu, 29","Modern","0256 400 222","office@hotelbocajunior.ro",185,27
"Casa de la Rosa","Calea Urseni, 16B","Girocului","0256 223 366","office@hotelcasadelarosa.ro",185,27
"Casa del Sole","Strada Romulus,12","Maria","0356 457 771","hotel@casadelsole.ro",185,27
"Casa Dia","Strada Frunzei, numarul 47","Sagului","0372 934 272","office@casadia.ro",185,27
"Club Senator","Calea Lugojului, DN6","Calea Lugojului","0256 225 463","office@hotelclubsenator.ro",185,27
"Continental","Bulevardul Revolutiei 1989,.2",,"0256 494 144","rezervari@hotelcontinental.ro",185,27
"Do Stil","Bulevardul Take Ionescu, 8","Take Ionescu","0256 221 343 ","pensiune@do-stil.ro",185,27
"Doria","Strada Moldovei,10","Modern","0256 207 837","contact@doria-hotel.ro",185,27
"Euro Hotel","Strada Mehadia, 5","Complex studentesc","0256 201251","eurohotel@rdstm.ro",185,27
"Hotel Timisoara","Strada Marasesti, 1-3","Centru","0256 498 852","office@hoteltimisoara.ro",185,27
"Lido","Bulevard Dr. Bulbuca, 18 - 20","Calea Buziasului","0256 407 373","rezervations@hotel-lido.ro",185,27
"May Art Residence","Strada Etolia 8",,"0256 282 822","office@mayresidence.ro",185,27
"Pensiunea Andronic","Strada Ioan Slavici, 75","Complex studentesc","0256 218 063","andronicreisen@yahoo.com",185,27
"Pensiunea Diambient","Strada Ciprian Porumbescu, 29A","Maria","0256 496 104","elenaiovi@yahoo.com",185,27
"Pensiunea Vlad Home 1","Strada Liviu Rebreanu,19A",,"0256 489 987",,185,27
"Pensiunea Vlad Home 2","Strada 1 Decembrie,56",,"0256 489 987",,185,27
"Pensiunea Zefir","Strada Tulcea,17","Mehala","0256 474 766","zefir@pensiuneazefir.ro",185,27
"Perla 1","Strada Petre Ramneantu, 11","Complex studentesc","0256 203 100","office@hotelperla.ro",185,27
"Perla 2","Strada Protopop George Dragomir, 7",,"0256 203 100","office@hotelperla.ro",185,27
"Perla 3","Strada Elvila Celebri, 14",,"0256 203 100","office@hotelperla.ro",185,27
"Perla 4","Strada Protopop George Dragomir, 9","Piata Crucii","0256 203 100","office@hotelperla.ro",185,27
"President","Strada Dinu Lipatti, 25",,"0256 293 737","info@hotelpresident.ro",185,27
"Reghina","Strada Cozia, 91","Maria","0256 491 166","info@hotel-reghina.ro",185,27
"Savoy","Strada Splaiul Tudor Vladimirescu,.2","Maria","0256 249 900","contact@hotelsavoytimisoara.ro",185,27
"Strelitia","Strada Simion Barnutiu,44","Modern","0256 247 067","office@hotelstrelitia.ro",185,27
"Valentina","Strada Mehadia nr. 5 b","Complex studentesc","0256 497 535","office@hotelvalentina.ro",185,27
"Vandia","Strada Turda, 28","Modern","0256 205 353","office@hotelvandia.ro",185,27
"Asociatia Culturala ""Compania D' Arte""","Str. Daliei 11",,"0723 297 456","companiadarte@gmail.com",104,9
"Asociatia Culturala Noua Acropola","str. Timotei Cipariu nr.5, apartament 2 (zona Maria)","Unirii","0256 433 151","na-timisoara@noua-acropola.ro",104,9
"Babel Center","Splaiul Tudor Vladimirescu 9/9","Maria","0256 244 400","office@babelcenter.ro",104,9
"Babel Junior","Spl. Tudor Vladimirescu 9, etaj 1, ap. 5",,"0256 244 404","office@babeljunior.ro",104,9
"Casa Armatei","Eugeniu de Savoya nr 4-6","Libertatii","0721 799 079 ",,104,9
"Casa Studentilor Timisoara","Bulevardul Regele Carol 9","Sinaia","0256 496 711",,104,9
"Casa Tineretului","Str. Aries 19",,"0256 491 170",,104,9
"Centrul Berlitz","Strada C. Brediceanu 18, etaj 8","Timisoara 700","0256 200 638","info@berlitz.ro",104,9
"Centrul Cultural Francez","Bd. C.D. Loga 46","Prefectura","0256 490 544","equipe.timisoara@institutfrancais-roumanie.com",104,9
"Centrul Cultural German","Str. Dr. Liviu Gabor, nr. 1","Centru","0256 407 058","info@ccgtm.ro",104,9
"Centrul Cultural Gong","B-dul Regele Carol, 9","Sinaia","0730 601 231",,104,9
"Centrul de studii Edukube","str. Marasesti nr. 14, ap 7, et 1",,"0356 452 774","info@edukune.org",104,9
"Cercul Militar Timisoara","Piata Libertatii 1","Libertatii",,,104,9
"City Business Centre","str. C. Brediceanu nr. 10","Timisoara 700","0256 491 042","info@business-centre.ro",104,9
"Directia pentru cultura, culte si patrimoniu cultural a judetului Timis","Episcop A. Pacha 8","Unirii","0256 493 659","secretariat@dccpcnjtimis.ro",104,9
"Examplus","Bulevardul Mihai Eminescu 36","Centru","0256 490 232","contact@examplus.ro",104,9
"Fundatia Rubin","Piata Unirii 8","Unirii","0356 442 770",,104,9
"Institutul Multimedia Romano-Elvetian","Bulevardul Republicii 9, etaj 3","Centru",,"office@imre.ro",104,9
"International House","Bulevardul C. D. Loga 11","Prefectura","0256 490 593","office@ihtm.ro",104,9
"IT Academy Program","Strada Treboniu Laurean 5","Sinaia","0256 498 172 ",,104,9
"Let's Do It, Romania",,,"0727 922 111 ","timis@letsdoitromania.ro ",104,9
"OSUT (Organizatia Studentilor din Universitatea de Vest, Timisoara)","Bd. Parvan 4, cam. 247","Complex studentesc","0256 592 181","office@osut.ro",104,9
"Universitatea Politehnica Timisoara","Piata Victoriei nr. 2","Centru","0256 403 000","rector@rectorat.upt.ro",104,9
"Arqa","str.Vasile Alecsandri nr.7","Unirii","0720 681 102",,24,18
"Bierhaus & Bunker","Str. Emanoil Ungureanu nr. 15","Unirii","0721 279 039","contact@bierhaus.ro",24,18
"Club 30","Piata Victoriei 7","Centru","0256 247 878 ",,24,18
"Club Daos","Splaiul Nicolae Titulescu 5",,"0744 609 750 ","daos_club@yahoo.com",24,18
"Club Tequila","Aleea Studentilor 1","Complex studentesc","0256 292 618","office@clubtequila.ro",24,18
"Club Viena","str. Daliei nr. 1b","Complex studentesc","0747 232 533",,24,18
"Daf Club Giroc","str. Gloria  nr. 5, comuna Giroc","Giroc","0256 395 998",,24,18
"Darc Club","Piata Unirii 5","Unirii","0722 891 085","club@darc.ro",24,18
"Fratelli Lounge & Club","Bd. Corneliu Coposu nr. 1","Complex studentesc","0722 122 123","officetimisoara@fratelli.ro",24,18
"Heaven Outdoor","Stadion Dan Paltinisanu","Stallion Dan Paltinisan","0755 432 836","liviu@heaven-studio.ro",24,18
"Heaven Studio","str. Cerna nr. 40","Stallion Dan Paltinisan","0755 432 836","liviu@heaven-studio.ro",24,18
"Le Sinema","3 August nr. 2","Traian","0727 859 116",,24,18
"Life Pub","Bulevardul Republicii nr. 11","Gara de Nord","0734 362 050","rezervari@lifepub.ro",24,18
"Madnes Club","Str. Pestalozzi nr. 2","Traian","0784 993 366",,24,18
"No Name","Bulevardul Liviu Rebreanu 11","Judetean","0735 215 704","clubnoname@gmail.com",24,18
"Park Place Events","Bd. Mihai Viteazu, no.1","Odobescu","0256 293 323","parkplace.events@gmail.com",24,18
"Porto Arte","Bulevardul 16 decembrie 1989","Centru","0728 893 331 ","contact@porto-arte.ro",24,18
"Scottish Pub","Str. Vasile Alecsandri 5","Cetate","0722 932 109","contact@scottishpub.ro",24,18
"Setup","Strada Pestalozzi 22","Complex studentesc",,"info@setuptm.ro",24,18
"Taine","Strada George Cosbuc, 1","Unirii","0731 349 020","office@clubtaine.ro",24,18
"Temnos","Strada Lascar Catargiu, nr.2A","Complex studentesc",,,24,18
"XO Cocktail Club","Str Stefan cel Mare Nr. 54","Traian","0730 006 842 ",,24,18
"Art Press","Str. Cermena nr. 1",,"0256 293 809 ","artpress@artpress.com.ro",105,9
"Augusta","Strada Lascar Catargiu 4-6","Complex studentesc","0256 220 688 ",,105,9
"Brumar","Str. Aurel Popovici nr. 6",,"0256 203 934 ","office@brumar.ro",105,9
"Cartea Sonora","Strada Dej 24","Aradului","0748 151 612","contact@carteasonora.ro",105,9
"Eurostampa","Bulevardul Revolutiei din 1989 nr. 26","Baile Neptun","0256 204 816","edituraeurostampa@gmail.com",105,9
"Excelsior Art","Str. Augustin Pacha nr. 2",,"0256 201 078 ","editura@excelsiorart.ro",105,9
"Mirton","Strada Samuil Micu 7","Modern","0256 272 926","mirton@mirton.ro",105,9
"Partos Print","Strada Zugrav Nedelcu 5","Maria","0256 272 763","office@tipografiapartos.ro",105,9
"Restaurant italian La Vela","str. demetriade, nr. 1","Lipovei","0256 227 737","info@lavela.ro",165,11
"Burgund","Strada Oravita, 2C (fosta Borzesti)","Lipovei","0752 108 235","contact@burgund.ro",165,11
"Casa Voastra","str. Sever Bocu nr. 78","Lipovei","0256 444 555","office@restaurant-casa-voastra.ro",165,11
"Sushi Ya","str. Petre Ramneantu nr. 17","Complex studentesc","0727 577 794","timisoara@sushi-ya.ro",165,11
"Ambassador","Strada Mangalia 3","Sagului","0256 401 033","contact@ambassador.ro",165,11
"Boavista","Strada F.C. Ripensia, 7A","Complex studentesc","0256 309 409 ","office@hotelboavista.ro",165,11
"Flora","Splaiul Tudor Vladimirescu, 14","Maria","0256 495 753",,165,11
"Lloyd","Piata Victoriei,2","Centru","0256 294 949","office@restaurantlloyd.ro",165,11
"Aquarium","Piata 700, City Business Center, aquarium, panoramic, domul catolic","Timisoara 700",,,165,11
"Aragosta","Bulevardul Take Ionescu 34","Take Ionescu","0372 773 344 ",,165,11
"Camelot","Strada Barbu Iscovescu, 2","Complex studentesc","0256 221 187",,165,11
"Casa Bunicii","Str. Virgil Ontiu nr. 3","Balcescu","0356 100 870","info@casa-bunicii.ro",165,11
"Casa Bunicii","Pta. Mocioni nr. 8, Timisoara","Sinaia","0356 100 870","info@casa-bunicii.ro",165,11
"Casa cu flori","Strada Alba Iulia, 1","Libertatii","0256 435 080","restaurant@casacuflori.ro",165,11
"Casa Timisana","Bd. 16 Decembrie 1989, nr.57 (vis a vis de Pompieri), in incinta Pensiunii Timisoara",,"0356 469 610","contact@casatimisana.ro",165,11
"Celentano","Regimentul 13 Calarasi, 3","Prefectura","0256 435 201","celentano@celentano.ro",165,11
"Cochet Ballroom","Str. Amicitiei, nr. 2, zona Lipovei","Lipovei","0720 174 530 ","cochet_ballroom@yahoo.com",165,11
"Codrina 1","Bulevardul Simion Barnutiu, 5","Modern","0256 431 888 ","info@cofetariacodrina.ro",165,11
"Codrina 2","Piata Dacia, Burebista, 10","Circumvalatiunii","0256 248 655 ","info@cofetariacodrina.ro",165,11
"Codrina 3","Calea Sagului, 78","Sagului","0256 271 585 ","info@cofetariacodrina.ro",165,11
"Codrina 4","Bulevardul Iosif Bulbuca, 2","Stadion Dan Paltinisan","0256 293 276 ",,165,11
"Cofetarie & Patiserie KROTZ","Str. Proclamatia de la Timisoara, nr.5 (centru)","Centru","0256 430 809 ","office@cofetariakrotz.ro",165,11
"Colosseum","Calea Timisoarei, 6, Giroc","Girocului","0742 274 120","olibulzan@gmail.com",165,11
"Complex Flonta","Str. Stadion nr. 2","Girocului","0723 615 740 ","office@complex-flonta.ro",165,11
"Cora","Strada Eugeniu de Savoya, 13","Unirii","0256 491 197",,165,11
"Da Toni PizzOsteria Toscana","Bulevardul Eroilor de la Tisa, 39","Complex studentesc","0356 431 200",,165,11
"Don","Strada Emanoil Ungureanu, 9","Unirii","0256 435 599 ",,165,11
"Don Peperone","strada Lamaitei, 8",,"0724 113 303",,165,11
"Gelateria Zanoni","Strada Ciprian Porumbescu, 29","Odobescu","0722 228 755 ",,165,11
"Giovanna","Strada Bucovina, 43","Torontalului","0256 243 872 ","info@pizzeriagiovanna.ro ",165,11
"Hanul Stejarul Fermecat","Dumbravita (langa baraj)",,"0744 235 921",,165,11
"Intermezzo","Piata Unirii, 3","Unirii","0256 432 429 ","rezervari@intermezzo.ro",165,11
"L'Osterietta","Calea Aradului",,"0256 475 380",,165,11
"Casa De La Rosa","Calea Urseni nr. 16 B",,"0256 223 366 ","office@hotelcasadelarosa.ro",165,11
"Ottima Pan","Strada Grigore T. Popa, 14","Lipovei","0256 284 424","office@ottima.ro",165,11
"Pizza Genesa","Str. Ion Ionescu de la Brad nr. 15",,"0256 212 345","catering@genesa.ro",165,11
"Poli","Calea Aradului, 1","Circumvalatiunii","0256 244 644","contact@pizza-poli.ro",165,11
"Rebecca","Strada Linistei 54","Aradului","0356 179 142 ",,165,11
"Calina","Strada Marasesti 1-3","Centru","0256 498 856","galeria@calina.ro",41,17
"Axa Art Gallery","Lucian Blaga 8","Cetate","0356 435 734",,41,17
"Calpe Gallery","str. Hector nr. 1","Cetate","0724 380 303 ","office@calpegallery.ro",41,17
"Galeria 28 Anastasia","Bd. Constantin Brancoveanu 28","Odobescu",,,41,17
"Galeria a2","Strada Paul Chinezu 6","Cetate",,,41,17
"Helios","Piata Victoriei 6","Centru","0256 494 726","uapt@clicknet.ro",41,17
"Jecza Gallery","Calea Martirilor nr. 51/45","Girocului","0722 666 445 ","jeczagallery@gmail.com",41,17
"Olteanu Art","Strada Divizia 9 Cavalerie, 74","Lipovei",,,41,17
"Pygmalion","Strada Augustin Pacha 8","Unirii",,,41,17
"Triade","Calea Martirilor 1989 51/45","Girocului","0256.482.056 ","fundatia.triade@gmail.com",41,17
"Vitralia","Strada Miorita 4","Complex studentesc","0256 490 750 ","bolog.simona@yahoo.com ",41,17
"Barbie","Str. Ulpia Traiana nr. 25",,"0721 331 100","iasmina.ilie@yahoo.com",42,4
"Broscuta Fermecata","Str. Roma nr. 476",,"0722 702 018","acasa@broscutafermecata.ro",42,4
"Chip si Dale","Strada Haga 4","Aradului","0256 281 019","office@chipsidale.ro",42,4
"Drems Party","Centrul Comercial Euro",,"0356 422 750","office@dreamsparty.ro",42,4
"Giminni","Str. Carol Davila nr. 43 A",,"0256 344 188","info@gradinitagiminni.ro",42,4
"Imalo Kinderklub","Str. Mircea cel Batran nr. 70 A",,"0754 073 880","info@imalokinderklub.ro",42,4
"Infants' Royal Club","Str. Basarabia nr, 4",,"0256 227 074","office@infantsroyalclub.ro",42,4
"International House","Bulevardul C.D Loga 11","Centru","0256 490 593","junior@ihtm.ro",42,4
"Kids Club Allegria","Strada Martir Dan Carpin 19","Aradului","0256 294 958","office@allegria.ro",42,4
"Mini Club","Str. Virgil Onitiu nr. 3",,"0256 496 909","info@miniclub.ro",42,4
"Scooby Kindergarten","Str. Ferenczes nr. 33",,"0256 211 743","office@gradinita-scooby.ro",42,4
"Smart Kindergarten","Str. Liviu Rebreanu nr. 46",,"0256 247 767","office@smartedu.ro",42,4
"Baza Sportiva Helios","Str. Iosif Bulbuca 21",,"0256 463 818","office@helios-sport.ro",209,25
"Arena Aqua Sport","Calea Dorobantilor 92 A","Padurea Verde","0256 213 103","office@arenaaquasport.ro",209,25
"Asociatia Road Patrol M.C.","Calea Sagului 51, ap.33","Sagului",,"roadpatrol_mc@yahoo.com",209,25
"Asociatia Speologica PRUSIK","Str. George Enescu, 1A",,"0742 525 688 ","contact@prusik.ro",209,25
"Banu Sport","F.C. Ripensia 33","Stadion Dan Paltinisan","0256 220 642","contact@banusport.ro",209,25
"Club de dans sportiv Magnum V.R.D",,"Loga","0256 212 303","contact@magnumvrd.ro",13,25
"Club Sportiv Alternative","Bulevardul Eroilor de la Tisa 7C","Complex studentesc","0722 599 386","office@alternativetm.ro",13,25
"Club Stil Europa","Strada Aries 19","Stadion Dan Paltinisan","0256 489 830",,13,25
"One Move Climbing Gym","Splaiul Nicolae Titulescu 5","Gara de Nord","0727 747 466","popa.le.iulian@gmail.com",209,25
"Par Alpin Grup","Strada Labirint 2, sc. A ap.3","Circumvalatiunii","0744 261 737","adi.glavan@par-alpingrup.ro",209,25
"Miracolul Plantelor","Vasile Alecsandri nr. 7 (colt cu Eugeniu de Savoya)","Unirii","0725 234 477","office@miracolul-plantelor.ro",146,12
"Salon Monica 1","Strada Barbu Iscoveanu 2","Complex studentesc","0256 202 899","salonmonica@email.com",146,12
"Salon Monica 2","Str. Divizia 9 Cavalerie nr. 2A-4","Lipovei","0256 283 575","salonmonica@email.com",146,12
"Salon Monica 3","Aleea Cristalului 5",,"0256 498 090","salonmonica@email.com",146,12
"Wishstudio","Strada Episcop Joseph Lonovici nr. 3, Timisoara","Traian","0256 433 470","salon@wishstudio.ro",146,12
"B Fashion","Strada Ianos Bolyai 3","Centru","0256 431 180","office@bfashionsalon.ro",146,12
"Breathless","Strada Demetriade 1","Iulius Mall","0256 247 739",,146,12
"Chir Med","Calea Martirilor 15","Girocului","0256 486 881",,146,12
"Diamonds Spa Center","Miron Costin 4","Maria","0356 440 100","info@diamonds-spa.ro",146,12
"Nomasvello Romania","Iulius Mall (langa Intr. Sport)","Iulius Mall","0256 223 344","demetriade@nomasvello.ro",146,12
"Policlinica Dr. Bold","Strada Dionisie Lintia 2","Baile Neptun","0256 204 959","office@drbold.ro",146,12
"Pro Medica","Strada Craiova 5","Stadion Dan Paltinisan","0256 222 851 ","office@promedica-tm.ro",146,12
"Salon Edisa","Strada Odobescu 2","Odobescu","0256 490 675","salon@edisa.ro",146,12
"Beauty Center","Str. Iancu Flondor nr. 12-14","Iulius Mall","0256 242 279 ","beaty_centertm@yahoo.com",146,12
"Selena","Shopping Center Bega","Cetate","0256 293 440","office@salonselena.ro",146,12
"Smile Factory – clinica germana de ortodontie si stomatologie estetica","Str. Tiblesului nr. 7A","Calea Buziasului","0256 295 699","office@smilefactory.ro",146,12
