TITLE_CITY,TITLE_CITY_EN,TITLE_DISTRICT,TITLE_DISTRICT_EN,TITLE_COUNTY,TITLE_COUNTY_EN,LAT,LNG
село Михайловское,null,Михайловский район,null,Алтайский край,null,51.818015,79.721304
Новоалтайск,null,городской округ Новоалтайск,null,Алтайский край,null,53.453044,83.886496
село Павловск,null,Павловский район,null,Алтайский край,null,53.333613,82.935764
поселок Бажево,null,Первомайский район,null,Алтайский край,null,53.412708,83.996045
поселок Бобровка,null,Первомайский район,null,Алтайский край,null,53.18458,83.872024
поселок Боровиха,null,Первомайский район,null,Алтайский край,null,53.508971,83.833908
поселок Лесной,null,Первомайский район,null,Алтайский край,null,53.246822,83.977046
поселок Новогорский,null,Первомайский район,null,Алтайский край,null,53.455956,84.011973
село Березовка,null,Первомайский район,null,Алтайский край,null,53.3986,83.994878
село Зудилово,null,Первомайский район,null,Алтайский край,null,53.474755,83.882355
село Первомайское,null,Первомайский район,null,Алтайский край,null,53.71755,84.010347
село Санниково,null,Первомайский район,null,Алтайский край,null,53.357529,83.989155
село Солнечное,null,Первомайский район,null,Алтайский край,null,53.393199,83.997016
село Сорочий Лог,null,Первомайский район,null,Алтайский край,null,53.578759,84.16103
село Фирсово,null,Первомайский район,null,Алтайский край,null,53.316058,83.937547
село Поспелиха,null,Поспелихинский район,null,Алтайский край,null,51.994336,81.823443
село Ребриха,null,Ребрихинский район,null,Алтайский край,null,53.071653,82.313474
село Родино,null,Родинский район,null,Алтайский край,null,52.501723,80.204436
село Гилев Лог,null,Романовский район,null,Алтайский край,null,52.772303,81.0851
Рубцовск,null,городской округ Рубцовск,null,Алтайский край,null,51.527617,81.21531
поселок Зелёная Дубрава,null,Рубцовский район,null,Алтайский край,null,51.458846,81.17936
поселок Колос,null,Рубцовский район,null,Алтайский край,null,51.422225,81.135971
поселок Мичуринский,null,Рубцовский район,null,Алтайский край,null,51.462331,81.153461
поселок Половинкино,null,Рубцовский район,null,Алтайский край,null,51.423758,81.233555
поселок Пушкино,null,Рубцовский район,null,Алтайский край,null,51.531708,81.116747
село Бобково,null,Рубцовский район,null,Алтайский край,null,51.676868,81.396734
Славгород,null,городской округ Славгород,null,Алтайский край,null,53.003846,78.624488
Яровое,null,Славгородский район,null,Алтайский край,null,52.937717,78.558974
село Селекционное,null,Славгородский район,null,Алтайский край,null,52.984008,78.595545
Белокуриха,null,Смоленский район,null,Алтайский край,null,51.994685,84.941271
село Верх-Обский,null,Смоленский район,null,Алтайский край,null,52.41941,85.019667
село Смоленское,null,Смоленский район,null,Алтайский край,null,52.302454,85.051404
село Никольское,null,Советский район,null,Алтайский край,null,52.216318,85.262948
село Советское,null,Советский район,null,Алтайский край,null,52.286977,85.402681
поселок Тальменка,null,Тальменский район,null,Алтайский край,null,53.815904,83.56109
поселок Топчиха,null,Топчихинский район,null,Алтайский край,null,52.815474,83.117457
село Староалейское,null,Третьяковский район,null,Алтайский край,null,51.005727,82.002684
поселок Троицкое,null,Троицкий район,null,Алтайский край,null,52.982051,84.655517
село Усть-Калманка,null,Усть-Калманский район,null,Алтайский край,null,52.118424,83.306076
поселок Коротояк,null,Хабарский район,null,Алтайский край,null,53.756105,79.661602
село Хабары,null,Хабарский район,null,Алтайский край,null,53.63414,79.516767
село Целинное,null,Целинный район,null,Алтайский край,null,53.081731,85.674637
Яровое,null,городской округ Яровое,null,Алтайский край,null,52.932962,78.556001
поселок Новомихайловка,null,городской округ Яровое,null,Алтайский край,null,52.932034,78.543065
Белогорск,null,Белогорский район,null,Амурская область,null,50.927759,128.460164
поселок Васильевка,null,Белогорский район,null,Амурская область,null,50.890587,128.617099
Благовещенск,null,городской округ Благовещенск,null,Амурская область,null,50.270079,127.470499
поселок Владимировка,null,Благовещенский район,null,Амурская область,null,50.299295,127.630147
село Чигири,null,Благовещенский район,null,Амурская область,null,50.342316,127.486803
поселок Бурея,null,Бурейский район,null,Амурская область,null,49.805016,129.800252
поселок Новобурейский,null,Бурейский район,null,Амурская область,null,49.793515,129.879178
Завитинск,null,Завитинский район,null,Амурская область,null,50.116911,129.426517
село Александровка,null,Зейский район,null,Амурская область,null,53.59589,126.953725
село Тыгда,null,Магдагачинский район,null,Амурская область,null,53.115719,126.309507
поселок Екатеринославка,null,Октябрьский район,null,Амурская область,null,50.374027,129.110517
Серышево,null,Серышевский район,null,Амурская область,null,51.089877,128.387005
поселок Тамбовка,null,Тамбовский район,null,Амурская область,null,50.08838,128.052355
Тында,null,Тындинский район,null,Амурская область,null,55.1507,124.741066
Архангельск,null,городской округ Архангельск,null,Архангельская область,null,64.536941,40.325436
деревня ТИЗ Целлюлозник,null,городской округ Архангельск,null,Архангельская область,null,64.608848,40.581447
деревня Черная Курья,null,городской округ Архангельск,null,Архангельская область,null,64.595829,40.606941
поселок Лесная Речка,null,городской округ Архангельск,null,Архангельская область,null,64.420236,40.628195
поселок Талажский Авиагородок,null,городской округ Архангельск,null,Архангельская область,null,64.595482,40.690583
поселок Турдеевск,null,городской округ Архангельск,null,Архангельская область,null,64.457441,40.778402
Вельск,null,Вельский район,null,Архангельская область,null,61.066172,42.058825
деревня Ежевская,null,Вельский район,null,Архангельская область,null,61.080316,42.057693
деревня Зелёный Бор,null,Вельский район,null,Архангельская область,null,61.086659,42.061799
деревня Филяевская,null,Вельский район,null,Архангельская область,null,61.110319,42.163111
село Благовещенское,null,Вельский район,null,Архангельская область,null,61.458661,42.555126
Каргополь,null,Каргопольский район,null,Архангельская область,null,61.50021,38.928511
поселок Коноша,null,Коношский район,null,Архангельская область,null,60.967198,40.249079
Коряжма,null,Котласский район,null,Архангельская область,null,61.31518,47.191161
поселок Приводино,null,Котласский район,null,Архангельская область,null,61.080634,46.494814
поселок Шипицыно,null,Котласский район,null,Архангельская область,null,61.282657,46.517532
поселок Урдома,null,Ленский район,null,Архангельская область,null,61.758017,48.523425
село Яренск,null,Ленский район,null,Архангельская область,null,62.17794,49.09002
Мезень,null,Мезенский район,null,Архангельская область,null,65.864502,44.218384
поселок Каменка,null,Мезенский район,null,Архангельская область,null,65.89271,44.114656
Новодвинск,null,городской округ Новодвинск,null,Архангельская область,null,64.421133,40.783927
Няндома,null,Няндомский район,null,Архангельская область,null,61.653901,40.198226
Онега,null,Онежский район,null,Архангельская область,null,63.905335,38.056103
поселок Плесецк,null,Плесецкий район,null,Архангельская область,null,62.708402,40.281544
деревня Большая Корзиха,null,Приморский район,null,Архангельская область,null,64.490797,40.588526
деревня Заозерье,null,Приморский район,null,Архангельская область,null,64.366513,40.869051
деревня Кяростров,null,Приморский район,null,Архангельская область,null,64.541001,40.421151
деревня Новое Лукино,null,Приморский район,null,Архангельская область,null,64.455564,40.592676
деревня Окулово,null,Приморский район,null,Архангельская область,null,64.463886,40.635454
деревня Часовенское,null,Приморский район,null,Архангельская область,null,64.461913,40.637978
поселок Катунино,null,Приморский район,null,Архангельская область,null,64.392532,40.623174
поселок Талаги,null,Приморский район,null,Архангельская область,null,64.615527,40.622841
поселок Октябрьский,null,Устьянский район,null,Архангельская область,null,61.087903,43.14726
Шенкурск,null,Шенкурский район,null,Архангельская область,null,62.109076,42.888446
деревня Никифоровская,null,Шенкурский район,null,Архангельская область,null,62.114243,42.994016
Астрахань,null,городской округ Астрахань,null,Астраханская область,null,46.270926,47.914377
Знаменск,null,Ахтубинский район,null,Астраханская область,null,48.587927,45.719577
поселок Верхний Баскунчак,null,Ахтубинский район,null,Астраханская область,null,48.220536,46.728421
поселок Володарский,null,Володарский район,null,Астраханская область,null,46.401857,48.542982
поселок Енотаевка,null,Енотаевский район,null,Астраханская область,null,47.247207,47.023284
село Никольское,null,Енотаевский район,null,Астраханская область,null,47.748408,46.405485
поселок Ильинка,null,Икрянинский район,null,Астраханская область,null,46.260989,47.914547
поселок городского типа Красные Баррикады,null,Икрянинский район,null,Астраханская область,null,46.2028,47.860397
село Икряное,null,Икрянинский район,null,Астраханская область,null,46.100717,47.7275
Камызяк,null,Камызякский район,null,Астраханская область,null,46.106916,48.070252
поселок городского типа Волго-Каспийский,null,Камызякский район,null,Астраханская область,null,46.197822,47.925462
поселок Забузан,null,Красноярский район,null,Астраханская область,null,46.527359,48.302134
Нариманов,null,Наримановский район,null,Астраханская область,null,46.688274,47.850138
поселок Тинаки 2-е,null,Наримановский район,null,Астраханская область,null,46.470913,47.963182
поселок Трусово,null,Наримановский район,null,Астраханская область,null,46.345207,47.946518
село Биштюбинка,null,Наримановский район,null,Астраханская область,null,46.338189,47.957532
село Солянка,null,Наримановский район,null,Астраханская область,null,46.371522,47.975112
село Старокучергановка,null,Наримановский район,null,Астраханская область,null,46.32491,47.94429
поселок Новоначаловский,null,Приволжский район,null,Астраханская область,null,46.336621,48.134356
село Карагали,null,Приволжский район,null,Астраханская область,null,46.256421,47.994237
Харабали,null,Харабалинский район,null,Астраханская область,null,47.415553,47.225036
село Сасыколи,null,Харабалинский район,null,Астраханская область,null,47.547572,47.012459
поселок Зубовка,null,Черноярский район,null,Астраханская область,null,48.147907,46.041147
поселок Старица,null,Черноярский район,null,Астраханская область,null,48.224528,45.942386
поселок Чёрный Яр,null,Черноярский район,null,Астраханская область,null,48.046294,46.109868
поселок Красная Башкирия,null,Абзелиловский район,null,республика Башкортостан,null,53.386481,58.841654
село Аскарово,null,Абзелиловский район,null,республика Башкортостан,null,53.323335,58.514398
деревня Мечниково,null,Альшеевский район,null,республика Башкортостан,null,53.901037,54.925835
поселок Ким,null,Альшеевский район,null,республика Башкортостан,null,53.900751,54.610221
село Раевский,null,Альшеевский район,null,республика Башкортостан,null,54.060752,54.90318
село Урняк,null,Альшеевский район,null,республика Башкортостан,null,54.171787,54.754446
село Архангельское,null,Архангельский район,null,республика Башкортостан,null,54.407481,56.770777
деревня Новые Казанчи,null,Аскинский район,null,республика Башкортостан,null,56.278513,56.283693
село Аскино,null,Аскинский район,null,республика Башкортостан,null,56.078036,56.560212
село Толбазы,null,Аургазинский район,null,республика Башкортостан,null,54.007438,55.880286
Баймак,null,Баймакский район,null,республика Башкортостан,null,52.593112,58.287223
деревня Сайгафар,null,Баймакский район,null,республика Башкортостан,null,52.503028,58.003508
село Старый Сибай,null,Баймакский район,null,республика Башкортостан,null,52.705027,58.569258
село Туяляс,null,Баймакский район,null,республика Башкортостан,null,52.846567,58.66925
село Яратово,null,Баймакский район,null,республика Башкортостан,null,52.568159,57.955565
деревня Орловка,null,Бакалинский район,null,республика Башкортостан,null,55.062096,53.843662
село Бакалы,null,Бакалинский район,null,республика Башкортостан,null,55.17718,53.801863
село Мустафино,null,Бакалинский район,null,республика Башкортостан,null,55.010591,53.593328
село Старые Маты,null,Бакалинский район,null,республика Башкортостан,null,55.239671,53.945585
село Старобалтачево,null,Балтачевский район,null,республика Башкортостан,null,56.002994,55.925211
Белебей,null,Белебеевский район,null,республика Башкортостан,null,54.101852,54.072499
село Усень - Ивановское,null,Белебеевский район,null,республика Башкортостан,null,54.183776,54.344293
село Новобелокатай,null,Белокатайский район,null,республика Башкортостан,null,55.708541,58.961328
Белорецк,null,Белорецкий район,null,республика Башкортостан,null,53.926446,58.307345
село Бижбуляк,null,Бижбулякский район,null,республика Башкортостан,null,53.698048,54.265052
село Кенгер-Менеуз,null,Бижбулякский район,null,республика Башкортостан,null,53.681962,54.386792
Бирск,null,Бирский район,null,республика Башкортостан,null,55.425451,55.525685
село Языково,null,Благоварский район,null,республика Башкортостан,null,54.691428,55.010429
Благовещенск,null,Благовещенский район,null,республика Башкортостан,null,55.051943,55.934473
село Тугай,null,Благовещенский район,null,республика Башкортостан,null,54.93092,55.969803
поселок Буздяк,null,Буздякский район,null,республика Башкортостан,null,54.56151,54.522617
село Бураево,null,Бураевский район,null,республика Башкортостан,null,55.851485,55.392591
деревня Мурадымово,null,Бурзянский район,null,республика Башкортостан,null,53.346091,57.51531
село Байназарово,null,Бурзянский район,null,республика Башкортостан,null,53.290858,57.554467
село Старосубхангулово,null,Бурзянский район,null,республика Башкортостан,null,53.100037,57.446274
деревня Заречный,null,Гафурийский район,null,республика Башкортостан,null,53.912707,56.415673
поселок Красноусольский,null,Гафурийский район,null,республика Башкортостан,null,53.891275,56.466302
Давлеканово,null,Давлекановский район,null,республика Башкортостан,null,54.217689,55.018272
село Ленинское,null,Давлекановский район,null,республика Башкортостан,null,54.354257,54.723642
село Месягутово,null,Дуванский район,null,республика Башкортостан,null,55.54672,58.244302
Дюртюли,null,Дюртюлинский район,null,республика Башкортостан,null,55.496567,54.842238
деревня Ивачево,null,Дюртюлинский район,null,республика Башкортостан,null,55.28948,54.999515
деревня Новоуртаево,null,Дюртюлинский район,null,республика Башкортостан,null,55.405767,55.264509
село Асян,null,Дюртюлинский район,null,республика Башкортостан,null,55.445926,54.717606
поселок Приютово,null,Ермекеевский район,null,республика Башкортостан,null,53.904607,53.925687
село Ермекеево,null,Ермекеевский район,null,республика Башкортостан,null,54.072192,53.674437
село Новый,null,Ермекеевский район,null,республика Башкортостан,null,53.883431,53.967306
село Исянгулово,null,Зианчуринский район,null,республика Башкортостан,null,52.189355,56.585994
деревня Максютово,null,Зилаирский район,null,республика Башкортостан,null,52.271902,57.778606
деревня Малоюлдыбаево,null,Зилаирский район,null,республика Башкортостан,null,52.335164,57.843177
село Зилаир,null,Зилаирский район,null,республика Башкортостан,null,52.237137,57.441558
село Искужино,null,Зилаирский район,null,республика Башкортостан,null,52.355707,57.763793
село Матраево,null,Зилаирский район,null,республика Башкортостан,null,52.243242,58.013497
село Юлдыбаево,null,Зилаирский район,null,республика Башкортостан,null,52.342097,57.875498
деревня Шакша,null,Иглинский район,null,Республика Башкортостан,null,54.743427,56.275509
село Акбердино,null,Иглинский район,null,Республика Башкортостан,null,54.593911,56.182749
село Иглино,null,Иглинский район,null,республика Башкортостан,null,54.820057,56.382543
село Верхнеяркеево,null,Илишевский район,null,республика Башкортостан,null,55.446212,54.316858
село Нижнеяркеево,null,Илишевский район,null,республика Башкортостан,null,55.466621,54.32806
Ишимбай,null,Ишимбайский район,null,республика Башкортостан,null,53.436424,55.978625
деревня Алакаево,null,Ишимбайский район,null,республика Башкортостан,null,53.345607,56.013318
деревня Карайганово,null,Ишимбайский район,null,республика Башкортостан,null,53.592026,56.045019
деревня Карасёвка,null,Ишимбайский район,null,республика Башкортостан,null,53.662225,56.09758
деревня Новогеоргиевка,null,Ишимбайский район,null,республика Башкортостан,null,53.503804,56.125391
деревня Урняк,null,Ишимбайский район,null,республика Башкортостан,null,53.684868,56.097283
деревня Яр-Бишкадак,null,Ишимбайский район,null,республика Башкортостан,null,53.503504,56.028176
село Васильевка,null,Ишимбайский район,null,республика Башкортостан,null,53.622686,56.479948
село Ишеево,null,Ишимбайский район,null,республика Башкортостан,null,53.619145,56.127215
село Скворчиха,null,Ишимбайский район,null,республика Башкортостан,null,53.305868,56.120801
село Урман-Бишкадак,null,Ишимбайский район,null,республика Башкортостан,null,53.52589,56.071502
поселок Краснохолмский,null,Калтасинский район,null,республика Башкортостан,null,55.971607,55.035636
село Калтасы,null,Калтасинский район,null,республика Башкортостан,null,55.968695,54.799146
село Кутерем,null,Калтасинский район,null,республика Башкортостан,null,55.99144,54.524315
село Караидель,null,Караидельский район,null,республика Башкортостан,null,55.830761,56.913978
деревня Кабаково,null,Кармаскалинский район,null,Республика Башкортостан,null,54.539322,56.142783
деревня Новотроицк,null,Кармаскалинский район,null,республика Башкортостан,null,54.321875,56.242909
деревня Сальзигутово,null,Кармаскалинский район,null,республика Башкортостан,null,54.546969,56.094247
деревня Сихонкино,null,Кармаскалинский район,null,республика Башкортостан,null,54.500406,56.012132
деревня Улукулево,null,Кармаскалинский район,null,республика Башкортостан,null,54.430474,56.326875
деревня станции Кабаково,null,Кармаскалинский район,null,Республика Башкортостан,null,54.524491,56.073774
село Кармаскалы,null,Кармаскалинский район,null,республика Башкортостан,null,54.3701,56.169831
село Прибельский,null,Кармаскалинский район,null,республика Башкортостан,null,54.375062,56.449872
село Сихонкино,null,Кармаскалинский район,null,республика Башкортостан,null,54.500406,56.012132
Агидель,null,Краснокамский район,null,республика Башкортостан,null,55.897821,53.95508
поселок Куяново,null,Краснокамский район,null,республика Башкортостан,null,55.809762,54.53991
село Николо-Берёзовка,null,Краснокамский район,null,республика Башкортостан,null,56.124898,54.157335
деревня Ардатово,null,Кугарчинский район,null,республика Башкортостан,null,52.365194,56.5423
поселок Мраково,null,Кугарчинский район,null,республика Башкортостан,null,52.712726,56.599055
Кумертау,null,Кумертау городской округ,null,республика Башкортостан,null,52.781379,55.753453
село Кушнаренково,null,Кушнаренковский район,null,республика Башкортостан,null,55.115573,55.341531
село Ермолаево,null,Куюргазинский район,null,республика Башкортостан,null,52.690559,55.808026
село Маячный,null,Куюргазинский район,null,республика Башкортостан,null,52.681814,55.682235
Мелеуз,null,Мелеузовский район,null,республика Башкортостан,null,52.935025,55.918078
деревня Верхнеюлдашево,null,Мелеузовский район,null,республика Башкортостан,null,53.309112,55.982011
село Большеустьикинское,null,Мечетлинский район,null,республика Башкортостан,null,55.95562,58.272365
деревня Сосновка,null,Мишкинский район,null,республика Башкортостан,null,55.553488,55.589789
село Мишкино,null,Мишкинский район,null,республика Башкортостан,null,55.533455,55.963407
село Исламгул,null,Миякинский район,null,республика Башкортостан,null,53.440173,54.47303
село Киргиз-Мияки,null,Миякинский район,null,республика Башкортостан,null,53.632661,54.797403
поселок Ташкиново,null,Нефтекамск городской округ,null,республика Башкортостан,null,56.047836,54.26481
село Малояз,null,Салаватский район,null,республика Башкортостан,null,55.182213,58.155162
деревня Максютово,null,Стерлибашевский район,null,республика Башкортостан,null,53.455034,55.311455
село Стерлибашево,null,Стерлибашевский район,null,республика Башкортостан,null,53.440721,55.25885
хутор Сергеевка,null,Стерлибашевский район,null,республика Башкортостан,null,53.326111,55.421696
деревня Косяковка,null,Стерлитамакский район,null,республика Башкортостан,null,53.708139,56.017558
деревня Покровка,null,Стерлитамакский район,null,республика Башкортостан,null,53.543299,55.944022
поселок Загородный,null,Стерлитамакский район,null,республика Башкортостан,null,53.583944,55.901109
село Айгулево,null,Стерлитамакский район,null,республика Башкортостан,null,53.484706,55.80975
село Заливной,null,Стерлитамакский район,null,республика Башкортостан,null,53.569792,55.979685
село Кантюковка,null,Стерлитамакский район,null,республика Башкортостан,null,53.448288,55.932685
село Косяковка,null,Стерлитамакский район,null,республика Башкортостан,null,53.708139,56.017558
село Наумовка,null,Стерлитамакский район,null,республика Башкортостан,null,53.510733,55.908835
село Новое Барятино,null,Стерлитамакский район,null,республика Башкортостан,null,53.696177,55.893473
село Верхние Татышлы,null,Татышлинский район,null,республика Башкортостан,null,56.292932,55.839197
Туймазы,null,Туймазинский район,null,республика Башкортостан,null,54.599133,53.658986
поселок Серафимовский,null,Туймазинский район,null,республика Башкортостан,null,54.422848,53.78864
село Кандры,null,Туймазинский район,null,республика Башкортостан,null,54.548682,54.104416
село Нуркеево,null,Туймазинский район,null,республика Башкортостан,null,54.577033,53.789224
село Райманово,null,Туймазинский район,null,республика Башкортостан,null,54.641008,53.699123
село Тюменяк,null,Туймазинский район,null,республика Башкортостан,null,54.67825,53.791622
Уфа,null,городской округ Уфа,null,Республика Башкортостан,null,54.693837,55.788155
деревня Алексеевка,null,Уфимский район,null,Республика Башкортостан,null,54.819368,55.987572
деревня Вавилово,null,Уфимский район,null,республика Башкортостан,null,54.813708,55.846483
деревня Камышлы,null,Уфимский район,null,республика Башкортостан,null,54.51788,55.938012
деревня Мударисово,null,Уфимский район,null,республика Башкортостан,null,54.841345,55.827214
деревня Опытное Хозяйство,null,Уфимский район,null,республика Башкортостан,null,54.884995,55.877394
деревня Сергеевка,null,Уфимский район,null,республика Башкортостан,null,54.702167,55.751629
деревня Суровка,null,Уфимский район,null,Республика Башкортостан,null,54.825872,55.90561
деревня Таптыково,null,Уфимский район,null,республика Башкортостан,null,54.608316,55.774501
поселок Октябрьский,null,Уфимский район,null,республика Башкортостан,null,54.763602,55.483473
